cenario,rsu,teste,metrica,Media,DP,IC95_low,IC95_high,Mediana,n_runs
2,sem,3,tempoMedioViagem,215.06,0,215.06,215.06,215.06,3
2,sem,3,tempoViagem_P50,208,0,208,208,208,3
2,sem,3,tempoViagem_P90,405,0,405,405,405,3
2,sem,3,tempoViagem_P95,481,0,481,481,481,3
2,sem,3,co2Medio_g,145.47,0,145.47,145.47,145.47,3
2,sem,3,combustivelMedio_ml,72.73,0,72.73,72.73,72.73,3
2,sem,3,throughput_vps,6.733,0,6.733,6.733,6.733,3
2,sem,3,throughput_total,1448,0,1448,1448,1448,3
2,sem,3,suppressionRatio,0,0,0,0,0,3
2,sem,3,totalDenmsReceived,0,0,0,0,0,3
2,sem,3,totalCamsReceived,0,0,0,0,0,3
2,sem,3,totalV2xMessages,0,0,0,0,0,3
2,sem,3,totalAlertsTriggered,0,0,0,0,0,3
2,sem,4,tempoMedioViagem_real,266.588,0,266.588,266.588,266.588,3
2,sem,4,tempoViagem_P50_real,251,0,251,251,251,3
2,sem,4,tempoViagem_P90_real,436,0,436,436,436,3
2,sem,4,tempoViagem_P95_real,501.5,0,501.5,501.5,501.5,3
2,sem,4,co2Medio_real_g,553941,0,553941,553941,553941,3
2,sem,4,combustivelMedio_real_ml,179581,0,179581,179581,179581,3
2,sem,4,tempoMedioViagem,215.06,0,215.06,215.06,215.06,3
2,sem,4,tempoViagem_P50,208,0,208,208,208,3
2,sem,4,tempoViagem_P90,405,0,405,405,405,3
2,sem,4,tempoViagem_P95,481,0,481,481,481,3
2,sem,4,co2Medio_g,145.47,0,145.47,145.47,145.47,3
2,sem,4,combustivelMedio_ml,72.73,0,72.73,72.73,72.73,3
2,sem,4,throughput_vps,6.733,0,6.733,6.733,6.733,3
2,sem,4,throughput_total,1448,0,1448,1448,1448,3
2,sem,4,suppressionRatio,0,0,0,0,0,3
2,sem,4,totalDenmsReceived,0,0,0,0,0,3
2,sem,4,totalCamsReceived,0,0,0,0,0,3
2,sem,4,totalV2xMessages,0,0,0,0,0,3
2,sem,4,totalAlertsTriggered,0,0,0,0,0,3
