cenario,teste,metrica,n_com,n_sem,media_com,media_sem,welch_t,welch_p,mannwhitney_p,metodo
2,1,totalV2xMessages,3,3,68228.7,0,162.81630556997104,3.772069053446633e-05,0.06360256962075367,scipy
2,2,co2Medio_g,3,3,149.327,145.47,7.102973271761884,0.019250252720858434,0.06360256962075367,scipy
2,2,co2Medio_real_g,3,3,563534,553941,2.078414055411352,0.1732385236832524,0.06360256962075367,scipy
2,2,combustivelMedio_ml,3,3,74.6633,72.73,7.1978914379149455,0.01875999905247005,0.06360256962075367,scipy
2,2,combustivelMedio_real_ml,3,3,182691,179581,2.078584221442605,0.1732171041060496,0.06360256962075367,scipy
2,2,suppressionRatio,3,3,0.717067,0,54.903818696912225,0.0003315727676380731,0.06360256962075367,scipy
2,2,tempoMedioViagem,3,3,232.61,215.06,7.53299830262401,0.0171698185252817,0.06360256962075367,scipy
2,2,tempoMedioViagem_real,3,3,279.1,266.588,3.924220691453595,0.05922679603098125,0.06360256962075367,scipy
2,2,tempoViagem_P50,3,3,223.333,208,3.1667705977789673,0.08691328759769897,0.06360256962075367,scipy
2,2,tempoViagem_P50_real,3,3,264,251,2.9824045403173027,0.09643753908600936,0.06360256962075367,scipy
2,2,tempoViagem_P90,3,3,428,405,39.83716857408418,0.0006295247712348468,0.06360256962075367,scipy
2,2,tempoViagem_P90_real,3,3,468.133,436,13.683742602295924,0.005298196161538636,0.06360256962075367,scipy
2,2,tempoViagem_P95,3,3,523.333,481,6.3739472880019,0.02374101544908378,0.06360256962075367,scipy
2,2,tempoViagem_P95_real,3,3,528.3,501.5,7.6088990617447525,0.01683753968574044,0.06360256962075367,scipy
2,2,throughput_total,3,3,1351.33,1448,-17.616245437692836,0.0032068621686804307,0.06360256962075367,scipy
2,2,throughput_vps,3,3,5.81,6.733,-21.062668413435308,0.002246507273187804,0.06360256962075367,scipy
2,2,totalAlertsTriggered,3,3,843.667,0,92.35750171211501,0.00011721394511619656,0.06360256962075367,scipy
2,2,totalCamsReceived,3,3,42168.3,0,74.8615957607183,0.00017838799235051734,0.06360256962075367,scipy
2,2,totalDenmsReceived,3,3,24412.7,0,72.16470171994003,0.0001919664303973003,0.06360256962075367,scipy
2,2,totalV2xMessages,3,3,66581,0,74.29335980768329,0.00018112650034405423,0.06360256962075367,scipy
2,3,co2Medio_g,3,3,149.163,145.47,4.530153584922243,0.045432512000695875,0.06360256962075367,scipy
2,3,co2Medio_real_g,3,3,554684,553941,0.12173425490259582,0.9142380280306528,0.6428348264908044,scipy
2,3,combustivelMedio_ml,3,3,74.58,72.73,4.520269441183296,0.04561801320789782,0.06360256962075367,scipy
2,3,combustivelMedio_real_ml,3,3,179822,179581,0.12191753003091833,0.9141098622225238,0.6428348264908044,scipy
2,3,suppressionRatio,3,3,0.7006,0,103.83723273166143,9.273280048104688e-05,0.06360256962075367,scipy
2,3,tempoMedioViagem,3,3,233.903,215.06,5.411085849062426,0.03249750667172528,0.06360256962075367,scipy
2,3,tempoMedioViagem_real,3,3,276.484,266.588,1.8769928568652177,0.20132317886858864,0.06360256962075367,scipy
2,3,tempoViagem_P50,3,3,221,208,6.244997998398398,0.024695169603307077,0.06360256962075367,scipy
2,3,tempoViagem_P50_real,3,3,269.667,251,4.469286553018689,0.04659268555020147,0.06360256962075367,scipy
2,3,tempoViagem_P90,3,3,418.333,405,3.0237157840738136,0.09417837268432361,0.06360256962075367,scipy
2,3,tempoViagem_P90_real,3,3,437.233,436,0.0501476105622517,0.9645625568805654,0.6428348264908044,scipy
2,3,tempoViagem_P95,3,3,523.667,481,1.8684638188639282,0.20264309341642822,0.06360256962075367,scipy
2,3,tempoViagem_P95_real,3,3,498.6,501.5,-0.14948453608247592,0.8948840601108337,0.6428348264908044,scipy
2,3,throughput_total,3,3,1347,1448,-22.398404509923555,0.001987328683946822,0.06360256962075367,scipy
2,3,throughput_vps,3,3,5.762,6.733,-9.421857369455763,0.011078047895235237,0.06360256962075367,scipy
2,3,totalAlertsTriggered,3,3,878,0,49.840260407276084,0.00040232520523307585,0.06360256962075367,scipy
2,3,totalCamsReceived,3,3,43353.3,0,61.99710646912149,0.0002600684765930176,0.06360256962075367,scipy
2,3,totalDenmsReceived,3,3,25196.7,0,43.05903615525456,0.0005389149226535967,0.06360256962075367,scipy
2,3,totalV2xMessages,3,3,68550,0,53.41700252113395,0.0003502779018125588,0.06360256962075367,scipy
2,4,co2Medio_g,3,3,150.7,145.47,inf,0.0,0.04685417760387376,scipy
2,4,co2Medio_real_g,3,3,553941,553941,nan,nan,1.0,scipy
2,4,combustivelMedio_ml,3,3,75.35,72.73,inf,0.0,0.04685417760387376,scipy
2,4,combustivelMedio_real_ml,3,3,179581,179581,0.0,1.0,1.0,scipy
2,4,suppressionRatio,3,3,0.732,0,1811.2302730577758,3.0482632105109526e-07,0.06360256962075367,scipy
2,4,tempoMedioViagem,3,3,219.57,215.06,158681518120632.0,9.463370933345468e-57,0.04685417760387376,scipy
2,4,tempoMedioViagem_real,3,3,266.588,266.588,nan,nan,1.0,scipy
2,4,tempoViagem_P50,3,3,214,208,inf,0.0,0.04685417760387376,scipy
2,4,tempoViagem_P50_real,3,3,251,251,nan,nan,1.0,scipy
2,4,tempoViagem_P90,3,3,400,405,-inf,0.0,0.04685417760387376,scipy
2,4,tempoViagem_P90_real,3,3,436,436,nan,nan,1.0,scipy
2,4,tempoViagem_P95,3,3,478,481,-inf,0.0,0.04685417760387376,scipy
2,4,tempoViagem_P95_real,3,3,501.5,501.5,nan,nan,1.0,scipy
2,4,throughput_total,3,3,1351,1448,-inf,0.0,0.04685417760387376,scipy
2,4,throughput_vps,3,3,6.153,6.733,-inf,0.0,0.04685417760387376,scipy
2,4,totalAlertsTriggered,3,3,775,0,inf,0.0,0.04685417760387376,scipy
2,4,totalCamsReceived,3,3,41785,0,inf,0.0,0.04685417760387376,scipy
2,4,totalDenmsReceived,3,3,24124.7,0,1814.460366367586,3.037419869705496e-07,0.06360256962075367,scipy
2,4,totalV2xMessages,3,3,65909.7,0,4957.1867491294715,4.069390934235214e-08,0.06360256962075367,scipy
